id;name;source;serial_number;install_date;status;device_model;create_time;update_time;remark
1;online Saint Martin;payment yellow;protocol;2020-11-17;62282;Rubber Rubber;2020-11-18;2020-11-17;Northern Mariana Islands protocol Customizable
2;drive Michigan;navigate Soft;circuit Virtual;2020-11-17;8986;Alley;2020-11-17;2020-11-18;Personal Loan Account Incredible
3;integrate;application;transmit;2020-11-17;64318;Ergonomic Seychelles Rupee orchestration;2020-11-17;2020-11-18;Senior Minnesota SMTP
4;Optimization killer;Chair e-enable;teal;2020-11-18;44799;vortals Handcrafted;2020-11-18;2020-11-17;generating Savings Account
5;e-commerce;User-centric Credit Card Account;analyzer;2020-11-17;22637;ivory;2020-11-17;2020-11-17;unleash
6;Fords FTP;Facilitator;open-source;2020-11-18;79424;Fundamental New Mexico benchmark;2020-11-18;2020-11-17;Chair
7;teal Monaco Savings Account;Supervisor Chair;Liberian Dollar Buckinghamshire Bolivia;2020-11-17;68665;SDR Configuration tan;2020-11-17;2020-11-18;Intranet
8;online;olive global benchmark;Concrete SSL;2020-11-17;77863;Communications;2020-11-17;2020-11-17;cultivate Executive seamless
9;parse fault-tolerant HDD;encoding;User-centric;2020-11-17;14930;Decentralized;2020-11-17;2020-11-18;Greens Croatian Kuna Saint Martin
10;Assistant 24/7 Principal;Gorgeous Wooden Salad Pants mindshare;Illinois Sleek;2020-11-17;16885;Yuan Renminbi;2020-11-17;2020-11-17;Decentralized indexing Pennsylvania
